"episodes","anime_count","average_rating","total_member"
"2","1","6.15","152"
"3","8","5.765","35320"
"4","18","6.680555555555555","487904"
"5","14","6.277857142857143","266207"
"6","22","6.0895","230078"
"7","3","5.386666666666667","410"
"8","14","5.985","304746"
"9","7","6.481428571428571","116223"
"10","62","6.888032786885246","2874924"
"11","55","7.16309090909091","4071065"
"12","747","6.935067204301075","53046808"
"13","518","6.967504835589942","27327261"
"14","17","6.8082352941176465","893343"
"15","10","6.698","518383"
"16","20","6.438","150812"
"17","3","6.46","6539"
"18","6","6.223333333333334","3265"
"19","4","7.035","44234"
"20","26","6.635384615384615","427424"
"21","15","6.886","130789"
"22","40","6.906499999999999","2946357"
"23","33","6.9384848484848485","1383856"
"24","167","7.273072289156626","16143864"
"25","159","7.285157232704402","13265573"
"26","497","6.907645875251509","14921894"
"27","14","6.9835714285714285","737840"
"28","6","6.09","2639"
"29","10","6.644","37229"
"30","21","6.383333333333334","37038"
"31","10","6.675","10877"
"32","9","6.203333333333333","10877"
"33","10","6.607000000000001","25160"
"34","11","6.959090909090909","63432"
"35","15","6.898666666666667","27432"
"36","11","6.917272727272728","50404"
"37","14","7.221428571428571","1074416"
"38","22","6.968636363636364","322059"
"39","84","6.91952380952381","601565"
"40","18","6.917222222222223","72190"
"41","6","6.521666666666666","8003"
"42","9","7.08","57803"
"43","18","7.13611111111111","433188"
"44","13","6.806153846153847","50672"
"45","15","7.0280000000000005","103721"
"46","18","7.0088888888888885","179427"
"47","25","7.1172","320723"
"48","34","6.918235294117647","166541"
"49","31","7.106129032258064","340583"
"50","83","7.050361445783132","1498057"
"51","100","6.9486","2443522"
"52","175","6.682685714285714","871008"
"53","8","6.6425","4483"
"54","9","6.647777777777778","194764"
"55","3","7.02","9532"
"56","10","6.581999999999999","24477"
"58","4","6.965","12092"
"59","4","6.84","9730"
"60","7","6.527142857142857","225975"
"61","9","6.94","64642"
"62","2","7.640000000000001","167038"
"63","4","7.09","11569"
"64","7","7.058571428571428","1194531"
"65","11","6.6827272727272735","42665"
"66","2","5.98","3334"
"67","1","7.48","27614"
"68","2","6.48","3151"
"69","2","7.390000000000001","51359"
"70","4","6.88","182157"
"71","1","5","56"
"72","3","6.48","2220"
"73","7","7.012857142857143","149865"
"74","5","7.662000000000001","269477"
"75","6","7.7316666666666665","318315"
"76","3","6.743333333333333","63890"
"77","7","6.895714285714285","103551"
"78","8","7.03125","109529"
"79","1","8.22","15442"
"80","2","6.8","407"
"83","1","6.75","169"
"84","2","5.765000000000001","33770"
"85","1","6.38","71"
"86","3","6.676666666666667","3203"
"87","1","6.8","424"
"88","2","6.515000000000001","757"
"90","1","6.33","80"
"91","2","6.824999999999999","2449"
"92","2","6.9350000000000005","5825"
"93","1","7.52","30722"
"94","3","7.236666666666667","220306"
"95","2","6.79","1762"
"96","4","6.8825","23645"
"97","3","7.176666666666667","139906"
"98","1","7.67","5652"
"99","2","7.949999999999999","74786"
"100","9","6.514444444444445","14064"
"101","5","7.340000000000001","95767"
"102","5","7.284000000000001","312149"
"103","5","7.244","336026"
"104","12","6.700833333333333","61291"
"105","3","7.076666666666667","8904"
"108","2","6.765","3503"
"109","3","7.216666666666666","43399"
"110","2","6.715","226"
"112","2","7.76","195567"
"113","1","7.9","12672"
"114","3","7.19","72588"
"115","2","7.54","11997"
"117","1","6.83","1399"
"119","2","6.15","714"
"120","1","8.29","47092"
"124","1","7.63","6437"
"125","1","4.6","90"
"127","3","7.233333333333333","43585"
"128","1","7.35","36623"
"130","7","6.161428571428572","2091"
"132","1","7.63","72"
"136","1","6.24","552"
"137","1","7.35","3623"
"140","2","6.355","411"
"141","1","6.68","265"
"142","2","7.785","6446"
"143","2","6.535","644"
"145","1","8.08","83648"
"147","1","7.74","54790"
"148","2","8.545","434510"
"150","1","7.66","51403"
"151","2","7.08","673"
"153","2","7.755","331034"
"154","1","7.52","47119"
"155","1","7.93","10873"
"156","7","6.565714285714286","1090"
"161","1","7.87","105212"
"162","1","7.18","72"
"163","1","6.49","301"
"164","2","6.775","381"
"167","1","7.89","281632"
"170","3","6.683333333333334","1098"
"172","1","7.47","8713"
"175","1","8.22","584590"
"178","2","7.865","104633"
"180","2","6.635","74475"
"182","1","7.12","729"
"191","1","7.23","48203"
"192","1","7.2","67386"
"193","1","7.28","5332"
"195","2","6.715","23121"
"199","1","7.07","102"
"200","2","6.48","423"
"201","1","9.04","336376"
"203","1","8.37","258103"
"220","1","7.81","683297"
"224","1","7.57","132099"
"225","2","5.640000000000001","280"
"237","1","6.14","273"
"240","2","7.04","156"
"243","1","7.28","5330"
"260","2","6.73","178"
"263","1","6.84","95"
"276","1","7.43","229157"
"283","1","6.75","75"
"291","1","8.32","375662"
"296","2","7.04","30153"
"300","1","6.55","240"
"305","2","6.46","1125"
"312","2","6.395","301"
"330","1","7.39","1524"
"331","1","6.63","1083"
"358","1","7.93","31632"
"365","2","6.195","1683"
"366","1","7.95","624055"
"373","1","7.82","4734"
"475","1","5.5","146"
"510","1","6.54","161"
"526","1","6.34","447"
"694","1","6.92","2116"
"726","1","6.25","237"
"773","1","5.63","110"
"1006","1","5.92","153"
"1274","1","6.8","112"
"1306","1","6.43","59"
"1428","1","6.05","194"
"1471","1","6.48","406"
"1565","1","5.56","116"
"1787","1","7.76","14233"
"1818","1","6.18","160"
