"genre","anime_count","total_members","avg_rating"
"Comedy","4645","107001258","6.6224021857923505"
"Action","2845","95508123","6.787149566473989"
"Romance","1464","65663654","6.999053583855254"
"Drama","2016","58262597","6.9772180070814365"
"Fantasy","2309","57260631","6.673670829616414"
"Supernatural","1037","57008004","7.00037962037962"
"School","1220","55005585","6.9720493197278905"
"Shounen","1711","54115368","7.057553444180523"
"Adventure","2348","45527104","6.742538860103626"
"Sci-Fi","2070","44908742","6.701488212180746"
"SliceofLife","1220","31988513","6.730498338870432"
"Mystery","495","26877898","7.2324123711340205"
"Ecchi","637","25013853","6.6666401273885345"
"Seinen","547","23177487","6.966353383458647"
"SuperPower","465","22805793","6.906784922394679"
"Magic","778","21155439","6.805890227576975"
"Harem","317","19897828","6.965686900958467"
"Psychological","229","17211633","7.010398230088495"
"Mecha","944","14983181","6.644790096878364"
"Shoujo","603","13451446","6.875976430976431"
"Horror","369","12578528","6.426850828729282"
"Military","426","12226177","7.004903846153846"
"Historical","806","11413035","6.746215538847117"
"Thriller","87","10133530","7.382325581395349"
"Demons","294","9527602","6.676306620209059"
"Parody","408","7965429","6.494937965260546"
"Sports","543","7401243","6.777973733583489"
"MartialArts","265","7105769","6.819356060606061"
"Game","181","6751779","6.783333333333334"
"Vampire","102","6401806","6.884600000000001"
"Music","860","6040014","5.923016627078385"
"Space","381","5048183","6.68339522546419"
"Police","197","4893278","7.122051282051282"
"Samurai","148","3545410","6.853835616438356"
"Hentai","1141","3030320","6.181279788172993"
"Kids","1609","2969424","6.11322903629537"
"Josei","54","2213791","7.443076923076924"
"ShoujoAi","55","1917870","6.978148148148148"
"Dementia","240","1777103","5.011680672268907"
"ShounenAi","65","1428840","6.961612903225807"
"Yaoi","39","543177","6.433684210526316"
"Cars","72","513638","6.4686111111111115"
"Yuri","42","186656","6.088536585365854"
